dorf|village
Hm, das sind sehr wenige. Vielleicht gibt es noch andere friedliche Schmiede, z.B. Hufschmied, Schmied, Waffenschmied, etc. Probiere beruf LIKE '%schmied', um alle Bewohner zu finden, deren Beruf mit 'schmied' endet (% ist ein Platzhalter für beliebig viele Zeichen).|Hmm, il y en a très peu. Il existe peut-être d'autres forgerons pacifiques, par exemple maréchal-ferrant-forgeron, forgeron, armurier-forgeron, etc. Essayez : metier LIKE '%forgeron' pour trouver tous les habitiants dont le métier se termine par 'forgeron' (% est un caractère générique qui remplace n'importe quelle chaîne de caractères).
schmied|forgeron
Das sieht schon besser aus! Diese Schmiede kommen alle in Frage. Ich gehe sie dann mal nacheinander besuchen.|Ah, c'est mieux comme ça ! Je vais aller voir tous ces forgerons les uns après les autres.
Hallo Fremder, wohin des Wegs? Ich bin Paul, der Bürgermeister von Affenstadt. Ich trage dich gerne als Bewohner meines Dorfes ein.|Bonjour, étranger, où allez-vous comme ça ? Je suis Paul, le maire du village de Singecity. Je vais vous enregistrer en tant que résident de mon village.
Fremder|Etranger
Hey, nenn mich doch nicht Fremder! Naja, egal. Wie ist eigentlich meine bewohnernr? (Tipp: Der * in den vorherigen Abfragen stand immer für 'alle Spalten'. Stattdessen kannst du aber auch einen oder mehrere mit Komma getrennte Spaltennamen angeben.|"Hé, je ne m'appelle pas Etranger ! Bon, peu importe. Je voudrais connaître mon numéro d'habitant ? (Conseil : l'astérisque * dans les requêtes précédentes signifie afficher ""toutes les colonnes"". On peut également spécifier l'affichage d'une ou plusieurs colonnes par leur nom séparées par des virgules)"
Hallo Ernst! Was kostet bei dir ein Schwert?|Bonjour Ernest ! Quel est le prix d'une épée chez vous ?
Ich schmiede dir ein Schwert für nur 150 Gold. Billiger bekommst du es nirgendwo! Wie viel Gold hast du momentan?|Je vous forge une épée pour seulement 150 or. Vous ne trouverez pas moins cher ailleurs ! Combien d'or avez-vous en ce moment ?
Mist, ich habe ja noch gar kein Gold. Ich habe aber auch keine Lust dafür arbeiten zu gehen. Hmmm, vorhin habe ich viele Gegenstände herumliegen gesehen, die niemandem gehören. Diese Gegenstände könnte ich einsammeln und an Händler verkaufen. Liste alle Gegenstände auf, die niemandem gehören. Tipp: Herrenlose Gegenstände erkennt man an WHERE besitzer IS NULL.|Mince, je n'ai pas encore assez d'or. Mais je n'ai pas  non plus trsè envie de travailler pour ça. Hmmm, tout à l'heure j'ai vu beaucoup d'objets qui traînent et qui n'appartiennent à personne. Je pourrais collecter ces objets et les vendre à des marchands. Affichez la liste de tous les objets qui n'appartiennent à personne. (Conseil : Vous pouvez trouver les objets sans propriétaire par : WHERE proprietaire IS NULL)
So viele tolle Sachen!|Tant de bonnes choses!
Lasst uns die Kaffeetasse einsammeln. Eine Kaffeetasse kann man immer mal gebrauchen.|Pas mal de trucs sympas ! Allons déjà chercher la tasse à café. Ca sert toujours une tasse à café.
Kennst du einen Trick, wie wir alle Gegenstände auf einmal einsammeln können, die niemandem gehören?|Connaissez-vous une astuce qui permettrait en une seule requête de collecter tous les objets qui n'appartiennent à personne ?
Jawoll! Welche Gegenstände besitze ich nun?|Bien joué ! Quels sont maintenant les objets que je possède ?
Finde friedliche Bewohner mit dem Beruf Haendler oder Kaufmann. Eventuell möchten sie etwas von uns kaufen. (Hinweis: Achte bei AND- und OR-Verknüpfungen auf korrekte Klammerung)|Trouvez des habitants pacifiques ayant comme métier marchand ou revendeur. Ils pourraient être intéressés par mes objets. (Note : Faites attention de bien respecter les parenthèses entre les clauses AND et OR)
Ich interessiere mich für den Ring und die Teekanne. Der Rest ist alles Schrott. Gib mir bitte die beiden Gegenstände. Meine Bewohnernummer ist übrigens 15.|Je suis intéressé par la bague et la théière, le reste c'est de la camelote. Donnez-moi ces deux objets, s'il vous plaît. Au fait, mon numéro d'habitante c'est le 15.
Dankeschön!|Merci !
Hier hast du einen Haufen Gold!|Voici un peu d'or !
Leider reicht das noch nicht für ein Schwert. Dann muss ich wohl doch arbeiten. Bevor ich mich jedoch irgendwo bewerbe, sollte ich vielleicht meinen Namen von Fremder auf meinen richtigen Namen ändern, ansonsten wird mich niemand einstellen.|Malheureusement, ce n'est pas encore suffisant pour acheter une épée. Je crois que je vais devoir travailler après tout. Mais avant de postuler quelque part, je devrais peut-être changer ce nom Etranger en mon vrai nom, sinon personne ne m'engagera.
In meiner Freizeit backe ich gerne. Ich glaube, ich verdiene mir ein bisschen Geld als Bäcker. Zeige mir alle Bäcker. Tipp: Mit ORDER BY gold kannst du die Liste sortieren, mit ORDER BY gold DESC steht sogar der reichste Bäcker oben.|Pendant mon temps libre, j'aime faire de la pâtisserie. Je pense que je pourrais gagner de l'argent en tant que boulanger. Afficher la liste de tous les boulangers. (Conseil : Avec ORDER BY or on peut trier la liste par ordre croissant d'or, avec ORDER BY or DESC le boulanger le plus riche sera est en haut de la liste)
Ach, der Paul! Den kenn ich doch!|Oh, mais c'est Paul ! Je le connais !
Hi, da bist du ja wieder! Soso, %%%PLAYER_NAME%%% heißt du also. Und du willst als Bäcker arbeiten? Da sag ich nicht nein. Ich zahle dir pro hundert Brötchen, die du mir bäckst, 1 Gold.|Bonjour, c'est encore toi ! Et donc, tu t'appelles %%%PLAYER_NAME%%. Tu veux travailler comme boulanger ? Je ne dis pas non. Je te paierai un or pour chaque centaine de brioches que tu me feras.
(8 Stunden später...) Hier bittesehr, zehntausend Brötchen! Ich kündige! Ich habe nun genug Gold, um mir ein Schwert zu kaufen! Mal schauen, was jetzt mit meinem Kontostand passiert.|(8 heures plus tard...) Voilà 10 000 brioches ! Je démissionne ! J'ai maintenant assez d'or pour acheter une épée ! Voyons quel est mon solde bancaire maintenant.
Hier ist dein neues Schwert, %%%PLAYER_NAME_FUNNY%%%! Nun kannst du überall hin!|Voici votre nouvelle épée, %%%PLAYER_NOM_FUNNY%% ! Maintenant, vous pouvez vous déplacer tranquillement n'importe où !
Ich heiße %%%PLAYER_NAME%%%! Aber trotzdem danke.|Je m'appelle %%%PLAYER_NAME%%% ! Merci en tous cas !
Schwert|épée
Gibt es auf der Insel einen Piloten? Er könnte mich nach Hause fliegen.|Y a-t-il un pilote sur l'île ? Il pourrait me ramener à la maison.
Oh, er hat den Status 'gefangen'.|Oh non ! Il y en a bien un mais son statut est 'kidnappé' !
Es ist schrecklich! Dirty Dieter hält den Piloten gefangen! Ich verrate dir einen Trick, wie wir schnell herausfinden können, in welchem Dorf Dirty Dieter wohnt.|C'est horrible ! Dirty Dieter détient le pilote prisonnier ! Je vais vous donner une astuce pour trouver rapidement dans quel village vit Dirty Dieter.
Auf diese Weise kannst du das Dorf mit der Dorf-Nummer suchen, die bei Dirty Dieter im Feld dorfnr steht. Ein solch genialer Ausdruck nennt sich Verbund oder Join.|De cette façon, vous pouvez rechercher le village à l'aide du numéro de village, qui se trouve dans le champ villageid de Dirty Dieter. Une expression aussi ingénieuse s'appelle une jointure.
Danke für den Tipp. Dann suche ich erst einmal den Häuptling des Dorfes Zwiebelhausen. Im Feld haeuptling der Tabelle dorf steht ja die bewohnernr des Häuptlings des jeweiligen Dorfes.|Merci pour le conseil. Alors je vais utiliser une jointure pour trouver le chef du village de Oignonplace. (Indice : la colonne chef dans la table village stocke le personneid de l'habitant qui est le chef du village)
Juhu! Ich hab's! Dann gehe ich mal Fritz besuchen, um ihn nach Dirty Dieter und dem Piloten zu fragen.|Oui, je l'ai ! Je vais maintenant aller voir Fred pour lui poser des questions sur Dirty Dieter et le pilote.
Hm, wie viele Einwohner hat eigentlich Zwiebelhausen?|Hm, combien d'habitants y a-t-il à Oignonplace en réalité ?
Hallo %%%PLAYER_NAME%%%, Dirty Dieter hält den Piloten im Haus seiner Schwester gefangen. Soll ich dir verraten, wie viele Frauen es in Zwiebelhausen gibt? Ach was, das kannst du schon selbst herausfinden! (Hinweis: Frauen erkennt man an geschlecht = 'w')|Bonjour %%%PLAYER_NAME%%, Dirty Dieter détient le pilote prisonnier dans la maison de sa soeur. Tu veux que je te dise combien de femmes habitent à Oignonplace ? Oh et puis zut, tu peux le trouver toi-même ! (Indice : les femmes sont caractérisées par genre = 'f')
Ha, nur eine Frau. Mal schauen, wie sie heißt.|Ah, une seule femme. Voyons voir maintenant quel est son nom.
So! Dann gehe ich jetzt da hin!|J'y vais !
%%%PLAYER_NAME%%%, gib mir alles Gold, was die Bewohner von unserem Nachbardorf Gurkendorf zusammen besitzen und ich lasse den Piloten frei! Du willst wissen, wie viel das ist? Ich zeige es dir!|%%PLAYER_NAME%%, si tu me donnes tout l'or cumulé par les habitants du village voisin de Concombreville, je libère le pilote ! Tu veux savoir combien ça fait ? Je vais te montrer !
So viel Gold werde ich niemals allein durch Brötchenbacken verdienen können. Ich muss mir etwas anderes einfallen lassen. Wenn ich Gegenstände verkaufe und zusätzlich noch als Bäcker arbeite, kann ich maximal so viel Gold bekommen, wie die Händler, Kaufmänner und Bäcker zusammen besitzen. Wie viel ist das?|Je n'aurai jamais assez d'or rien qu'en faisant des brioches. Je dois trouver autre chose. Si je vends des objets et que je continue à travailler comme boulanger, le maximum d'or que je puisse obtenir représente le cumul de tout ce que les marchands, les revendeurs et les boulangers possèdent. Combien cela représente-t-il ?
Das ist viel zu wenig.|C'est beaucoup trop peu.
Schauen wir mal die gesamten sowie durchschnittlichen Goldvorräte der einzelnen Berufe an.|Examinons les stocks d'or totaux et moyens par profession.
Interessant, die Metzger haben also das meiste Gold. Warum auch immer... Wie viel Gold haben im Durchschnitt die einzelnen Bewohnergruppen je nach Status (friedlich, böse, gefangen)?|C'est Intéressant, ce sont donc les bouchers, pour une raison quelconque... qui ont le plus d'or.  Maintenant il serait instructif de connaître la moyenne d'or possédé par statut (pacifique, maléfique, ...)  
Okay, ich muss also die bösen Bewohner ausrauben.|Ok, ce sont donc les résidents maléfiques que je dois détrousser...
Dann kann ich auch gleich Dirty Dieter mit dem Schwert töten und den Piloten befreien.|Autant tuer directement Dirty Dieter avec mon épée et libérer le pilote.
Heeeey! Jetzt bin ich aber sauer! Was tust du wohl als nächstes, %%%PLAYER_NAME%%%?|Heeeey ! Je suis furieuse maintenant ! Qu'allez-vous faire ensuite, %%%PLAYER_NAME%% ?
Yeah! Jetzt muss ich nur noch den Piloten befreien.|Ouais ! Maintenant, tout ce que j'ai à faire c'est de libérer le pilote.
Vielen vielen Dank, %%%PLAYER_NAME%%%! Jetzt fliege ich dich nach Hause.|Merci beaucoup, %%%PLAYER_NAME%% de m'avoir libéré ! Maintenant je vais te ramener chez toi.
Juhu! Und als Andenken nehme ich mein Schwert, ein bisschen Gold und die nutzlosen Gegenstände mit nach Hause. Was für ein Abenteuer!|Super ! Et comme souvenir, je vais ramener chez moi l'épée, un peu d'or et les objets inutiles. Quelle aventure !
Weiter|Continuer
DORF|VILLAGE
BEWOHNER|HABITANT
GEGENSTAND|OBJET
Bist du dir sicher?|Es-tu sûr ?
Wenn du das Spiel neustartest, fängst du wieder ganz von vorne an.|Lorsque tu redémarres le jeu, tu recommences du début.
Ja, Neustart!|Oui ! Recommencer !
Nein, weiterspielen!|Non, continuer le jeu !
SQL Island Game Trailer|Présentation de SQL Island
Das bist du!|Tu es toi !
Nach einem Flugzeugabsturz stellst du fest, dass du der einzige Überlebende bist. Du landest auf der Insel SQL Island und das Ziel des Spiels ist es, von dieser Insel zu entkommen.|Après avoir survécu à un accident d'avion tu restes coincé sur SQL Island pour le moment. En progressant dans le jeu, tu trouveras un moyen de t'échapper de cette île.
Zurück|Retour
Hier wirst du nachher die Spielbefehle eingeben. Du steuerst das komplette Spiel mit Kommandos aus der Datenbanksprache SQL.|Cette zone de texte est l'endroit où tu saisiras les commandes SQL qu'on appelle requêtes. Le jeu complet sera contrôlé au moyen du langage SQL qui sert à manipuler les bases de données.
Du kannst kein SQL? Keine Angst, hier werden dir im Laufe des Spiels die einzelnen Kommandos gezeigt.|Tu ne connais encore rien au SQL ? Pas d'inquiétude, on te montrera les différentes commandes au cours du jeu.
Hier unten steht, welche Tabellen es gibt: Dorf, Bewohner und Gegenstand. In Klammern stehen die Spaltennamen der Tabellen. Diese Infos wirst du im Spiel ganz oft brauchen!|Tu trouvereras ici toutes les tables auxquelles tu peux accéder : village, habitant et objet. Chacune de ces tables comprend plusieurs colonnes (entre parenthèses). Tu auras besoin de ces informations tout au long du jeu !
Los geht's!|C'est parti!
Über diesen Menü-Knopf kannst du das Spiel neustarten oder dir diese Anleitung noch einmal anschauen. Aber genug geredet, lasst uns anfangen!|Avec ce bouton de menu, tu peux redémarrer le jeu ou consulter à nouveau les instructions. Mais assez parlé... commençons !
Schreibe deine SQL-Anfrage hier hinein|Ecris ta requête SQL ici
Yeah|Yeah
Fehler|Erreur
Es kommen zu viele Zeilen raus.|Le résultat contient trop de lignes.
Hinweis: Achte bei Werten, die in Anführungszeichen stehen, auf Groß-/Kleinschreibung.|Remarques : attention de bien différentier les majuscules et les minuscules pour les valeurs entre guillemets.
Da fehlen noch ein Paar Zeilen.|Il manque quelques lignes
Das Spiel ist zu Ende.|Le jeu est terminé.
INSERT-SELECT-Kombinationen sind hier nicht erlaubt.|Les combinaisons entre INSERT et SELECT ne sont pas autorisées ici.
Erlaubt sind nur SELECT-, INSERT-, UPDATE- und DELETE-Anfragen.|Seules les requêtes de type SELECT, INSERT, UPDATE et DELETE sont autorisées.
Was machst du da eigentlich?|Tu fais quoi ?
Ausführen|Soumettre
Es kommen falsche Zeilen raus.|Le résultat est incorrect.
Sprache wechseln|Changer de langue
Bitte wähle eine Sprache.|S'il te plait, choisis ta langue
Danach wird das Spiel neu gestartet|Et ensuite le jeu va recommencer.
Die Spalten sind falsch.|Les colonnes ne sont pas les bonnes.
Info|Info
Ein Text-Adventure-Lernspiel für die Datenbanksprache SQL|Un jeu sérieux d'aventures pour apprendre les rudiments du SQL, le langage des bases de données.
Das Spiel wurde an der Technischen Universität Kaiserslautern in der AG Heterogene Informationssysteme / Lehrgebiet Informationssysteme von Johannes Schildgen entwickelt. Ein großer Dank geht an Isabell Ruth, die die Grafiken erstellt hat, sowie an Marlene van den Ecker für die Übersetzung ins Englische, Adilson Vahldick für die portugiesische Übersetzung und Hervé L'helguen für die Übersetzung ins Französische.|Le jeu a été développé par Johannes Schildgen de l'Université technique de Kaiserslautern dans le cadre d'un groupe de travail sur les systèmes d'information / systèmes d'information hétérogènes. Un grand merci à Isabell Ruth, qui a créé le graphisme et à Marlene van den Ecker pour la traduction en anglais.
Weitere Infos, Impressum, Kontakt und Publikationen|Informations complémentaires, mentions légales, contact et publications
Oh oh... Entweder du hast zu viele oder zu wenige Änderungen durchgeführt.|Oh oh ... Soit tu as fait trop de changements, soit pas assez.
Wofür brauchst du so eine lange Anfrage?|Pourquoi as-tu fait une requête si longue ?
Hole jetzt dein Abschluss-Zertifikat ab. Wenn du den Namen auf dem Zertifikat ändern willst, tu dies mit einem UPDATE-Befehl auf der Bewohner-Tabelle.|Maintenant, récupérez votre certificat d'achèvement. Si vous voulez changer le nom sur le certificat, faites-le avec une commande UPDATE sur la table des résidents.
ausgewandert|émigré
Zertifikat|Certificat
Spiel speichern / laden|Enregistrer / Charger le jeu
Wenn du das Spiel speicherst, kannst du beim nächsten Mal hier weitermachen.|Lorsque vous enregistrez le jeu, vous pouvez reprendre d'ici la prochaine fois.
Speichern|Enregistrer
Um ein Spiel zu laden, gib hier die Spiel-ID ein:|Pour charger un jeu, saisissez ici l'ID du jeu:
Laden|Charger
Gespeichert|Enregistré
Notiere dir deine Spiel-ID: |Notez votre ID de jeu: 
