dorf|aldeia
Hallo %%%PLAYER_NAME%%%, Dirty Dieter hält den Piloten im Haus seiner Schwester gefangen. Soll ich dir verraten, wie viele Frauen es in Zwiebelhausen gibt? Ach was, das kannst du schon selbst herausfinden! (Hinweis: Frauen erkennt man an geschlecht = 'w')|"Olá %%%PLAYER_NAME%%%, o piloto está mantido em cativeiro por Dieter Sujo na casa da irmã dele. Devo dizer quantas mulheres vivem em Cidade Cebola? Acho que não, descubra sozinho! (Dica: Mulher aparece como gênero = ""f"")"
Ha, nur eine Frau. Mal schauen, wie sie heißt.|Só uma mulher? Qual seu nome?
So! Dann gehe ich jetzt da hin!|Vamos lá! 
%%%PLAYER_NAME%%%, gib mir alles Gold, was die Bewohner von unserem Nachbardorf Gurkendorf zusammen besitzen und ich lasse den Piloten frei! Du willst wissen, wie viel das ist? Ich zeige es dir!|%%%PLAYER_NAME%%%, se você me entregar todo o OURO da aldeia vizinha Cidade Pepino, eu libertarei o piloto. Eu vou te mostrar agora do quanto OURO estou falando.
So viel Gold werde ich niemals allein durch Brötchenbacken verdienen können. Ich muss mir etwas anderes einfallen lassen. Wenn ich Gegenstände verkaufe und zusätzlich noch als Bäcker arbeite, kann ich maximal so viel Gold bekommen, wie die Händler, Kaufmänner und Bäcker zusammen besitzen. Wie viel ist das?|Ah não, somente fazer pães não resolverá meu problema. Se eu continuar trabalhando e vendendo itens no entanto, eu poderia conseguir mais ouro do que o valor de ouro dos inventários de todos os padeiros, negociantes e mercadores juntos. Quanto de ouro será que vai dar com a soma desses três tipos de trabalho?
Das ist viel zu wenig.|Isso não é suficiente!
Schauen wir mal die gesamten sowie durchschnittlichen Goldvorräte der einzelnen Berufe an.|Vamos dar uma olhada na média de ouro que as pessoas têm, dependendo de seu trabalho.
Interessant, die Metzger haben also das meiste Gold. Warum auch immer... Wie viel Gold haben im Durchschnitt die einzelnen Bewohnergruppen je nach Status (friedlich, böse, gefangen)?|Muito interessante, por alguma razão, açougueiros possuem a maior quantia de ouro. Quanto ouro habitantes diferentes tem em média, dependendo de seu status (amigável,...)?
Okay, ich muss also die bösen Bewohner ausrauben.|Ok, então o jeito é atacar os vilões.
Dann kann ich auch gleich Dirty Dieter mit dem Schwert töten und den Piloten befreien.|Ou eu poderia também apenas ir em frente e assassinar Dieter Sujo com minha espada.
Heeeey! Jetzt bin ich aber sauer! Was tust du wohl als nächstes, %%%PLAYER_NAME%%%?|Heeeei! Agora eu estou muito brava! O que fará a seguir, %%%PLAYER_NAME%%%?
Yeah! Jetzt muss ich nur noch den Piloten befreien.|Isso! Agora eu liberto o piloto!
Vielen vielen Dank, %%%PLAYER_NAME%%%! Jetzt fliege ich dich nach Hause.|Obrigado por me libertar, %%%PLAYER_NAME%%%! Eu vou te levar para casa!
Juhu! Und als Andenken nehme ich mein Schwert, ein bisschen Gold und die nutzlosen Gegenstände mit nach Hause. Was für ein Abenteuer!|Ebaaa!!! Vou levar minha espada, ouro e muitos itens inúteis comigo como lembrança. Que grande aventura!
Weiter|Continuar
DORF|ALDEIA
BEWOHNER|HABITANTE
GEGENSTAND|ITEM
Bist du dir sicher?|Você tem certeza?
Wenn du das Spiel neustartest, fängst du wieder ganz von vorne an.|Quando você recomeçar o jogo, terá que começar tudo de novo!
Ja, Neustart!|Sim, recomeçar!
Nein, weiterspielen!|Não, continuar o jogo!
SQL Island Game Trailer|Trailer do jogo SQL Island 
Das bist du!|Esse é você!
Nach einem Flugzeugabsturz stellst du fest, dass du der einzige Überlebende bist. Du landest auf der Insel SQL Island und das Ziel des Spiels ist es, von dieser Insel zu entkommen.|Depois de sobreviver a queda do avião, você estará preso na Ilha SQL. Enquanto progride no jogo, você encontrará um jeito de escapar da ilha.
Zurück|Voltar
Hier wirst du nachher die Spielbefehle eingeben. Du steuerst das komplette Spiel mit Kommandos aus der Datenbanksprache SQL.|Esse campo é onde você escreve seus comandos. O jogo inteiro será comandado por meio de recursos da linguagem de banco de dados (SQL).
Du kannst kein SQL? Keine Angst, hier werden dir im Laufe des Spiels die einzelnen Kommandos gezeigt.|Ainda não sabe nada sobre SQL? Sem problemas. Você descobrirá sobre eles aqui!
Hier unten steht, welche Tabellen es gibt: Dorf, Bewohner und Gegenstand. In Klammern stehen die Spaltennamen der Tabellen. Diese Infos wirst du im Spiel ganz oft brauchen!|Aqui em baixo você encontrará todas as tabelas que poderá acessar: aldeia, habitante e item. Cada uma delas inclui várias colunas (em parênteses). Você precisará dessas informações durante todo o jogo.
Los geht's!|Vamos lá! 
Über diesen Menü-Knopf kannst du das Spiel neustarten oder dir diese Anleitung noch einmal anschauen. Aber genug geredet, lasst uns anfangen!|Caso queira reiniciar o jogo ou rever as instruções, apenas clique nesse botão de menu.
Schreibe deine SQL-Anfrage hier hinein|Escreva seu comando SQL aqui
Yeah|Isso
Fehler|Erro
Es kommen zu viele Zeilen raus.|São muitas linhas.
Hinweis: Achte bei Werten, die in Anführungszeichen stehen, auf Groß-/Kleinschreibung.|Dica: Valores entre aspas diferenciam entre letra maiúscula e minúscula.
Da fehlen noch ein Paar Zeilen.|Algumas linhas estão faltando.
Das Spiel ist zu Ende.|O jogo acabou!
INSERT-SELECT-Kombinationen sind hier nicht erlaubt.|Combinações INSERT-SELECT não são permitidas.
Erlaubt sind nur SELECT-, INSERT-, UPDATE- und DELETE-Anfragen.|Apenas consultas com SELECT, INSERT, UPDATE e DELETE são permitidas.
Was machst du da eigentlich?|O que você está fazendo?
Ausführen|Enviar
Es kommen falsche Zeilen raus.|As linhas de resultado estão incorretas.
Sprache wechseln|Mudar idioma.
Bitte wähle eine Sprache.|Por favor, escolha seu idioma.
Danach wird das Spiel neu gestartet|Em seguida o jogo será reiniciado.
Die Spalten sind falsch.|As colunas estão erradas.
Info|Informações.
Ein Text-Adventure-Lernspiel für die Datenbanksprache SQL|Um jogo de texto-aventura e aprendizado para a linguagem SQL.
Das Spiel wurde an der Technischen Universität Kaiserslautern in der AG Heterogene Informationssysteme / Lehrgebiet Informationssysteme von Johannes Schildgen entwickelt. Ein großer Dank geht an Isabell Ruth, die die Grafiken erstellt hat, sowie an Marlene van den Ecker für die Übersetzung ins Englische, Adilson Vahldick für die portugiesische Übersetzung und Hervé L'helguen für die Übersetzung ins Französische.|O jogo foi desenvolvido por Johannes Schildgen na University of Technology, Kaiserslautern no grupo de Sistemas de Informação Heterogêneos. Obrigado à Isabell Ruth por criar as imagens e Marlene van den Ecker por traduzir o jogo para Inglês.
Weitere Infos, Impressum, Kontakt und Publikationen|Mais informações, contato e publicações.
Oh oh... Entweder du hast zu viele oder zu wenige Änderungen durchgeführt.|Ou você fez alterações demais ou faltaram algumas alterações.
Wofür brauchst du so eine lange Anfrage?|Porque você precisa de um pedido tão longo?
Hole jetzt dein Abschluss-Zertifikat ab. Wenn du den Namen auf dem Zertifikat ändern willst, tu dies mit einem UPDATE-Befehl auf der Bewohner-Tabelle.|Receba agora seu certificado por ter completado o jogo. Se você quiser alterar o seu nome no certificado, use um comando UPDATE na tabela HABITANTE.
ausgewandert|emigrado
Zertifikat|Certificado
Spiel speichern / laden|Salvar / Carregar Jogo
Wenn du das Spiel speicherst, kannst du beim nächsten Mal hier weitermachen.|Quando você salva o jogo, pode continuar daqui na próxima vez.
Speichern|Salvar
Um ein Spiel zu laden, gib hier die Spiel-ID ein:|Para carregar um jogo, insira a ID do jogo aqui:
Laden|Carregar
Gespeichert|Salvo
Notiere dir deine Spiel-ID: |Anote sua ID de jogo: 
