dorf|village
Jawoll! Welche Gegenstände besitze ich nun?|Now list all of the items I have!
Finde friedliche Bewohner mit dem Beruf Haendler oder Kaufmann. Eventuell möchten sie etwas von uns kaufen. (Hinweis: Achte bei AND- und OR-Verknüpfungen auf korrekte Klammerung)|Find a friendly inhabitant who is either a dealer or a merchant. Maybe they want to buy some of my items. (Hint: When you use both AND and OR, don't forget to put brackets correctly!)
Ich interessiere mich für den Ring und die Teekanne. Der Rest ist alles Schrott. Gib mir bitte die beiden Gegenstände. Meine Bewohnernummer ist übrigens 15.|I'd like to get the ring and the teapot. The rest is nothing but scrap. Please give me the two items. My personid is 15.
Dankeschön!|Thank you!
Hier hast du einen Haufen Gold!|Here, some gold!
Leider reicht das noch nicht für ein Schwert. Dann muss ich wohl doch arbeiten. Bevor ich mich jedoch irgendwo bewerbe, sollte ich vielleicht meinen Namen von Fremder auf meinen richtigen Namen ändern, ansonsten wird mich niemand einstellen.|Unfortunately, that's not enough gold to buy a sword. Seems like I do have to work after all. Maybe it's not a bad idea to change my name from Stranger to my real name before I will apply for a job.
In meiner Freizeit backe ich gerne. Ich glaube, ich verdiene mir ein bisschen Geld als Bäcker. Zeige mir alle Bäcker. Tipp: Mit ORDER BY gold kannst du die Liste sortieren, mit ORDER BY gold DESC steht sogar der reichste Bäcker oben.|Since baking is one of my hobbies, why not find a baker who I can work for? (Hint: List all bakers and use 'ORDER BY gold' to sort the results. 'ORDER BY gold DESC' is even better because then the richest baker is on top.)
Ach, der Paul! Den kenn ich doch!|Aha, Paul! I know him!
Hi, da bist du ja wieder! Soso, %%%PLAYER_NAME%%% heißt du also. Und du willst als Bäcker arbeiten? Da sag ich nicht nein. Ich zahle dir pro hundert Brötchen, die du mir bäckst, 1 Gold.|Hi, you again! So, %%%PLAYER_NAME%%% is your name. I saw you want to work as a baker? Okay! You will be paid 1 gold for 100 bread rolls.
(8 Stunden später...) Hier bittesehr, zehntausend Brötchen! Ich kündige! Ich habe nun genug Gold, um mir ein Schwert zu kaufen! Mal schauen, was jetzt mit meinem Kontostand passiert.|(8 hours later...) Here, I made ten thousand bread rolls! I quit! This should be enough money to buy a sword. Let's see what happens with my gold balance.
Hier ist dein neues Schwert, %%%PLAYER_NAME_FUNNY%%%! Nun kannst du überall hin!|Here's your new sword, %%%PLAYER_NAME_FUNNY%%%! Now you can go everywhere.
Ich heiße %%%PLAYER_NAME%%%! Aber trotzdem danke.|My name is %%%PLAYER_NAME%%%! Thanks anyway!
Schwert|sword
Gibt es auf der Insel einen Piloten? Er könnte mich nach Hause fliegen.|Is there a pilot on this island by any chance? He could fly me home.
Oh, er hat den Status 'gefangen'.|Oh no, his state is 'kidnapped'.
Es ist schrecklich! Dirty Dieter hält den Piloten gefangen! Ich verrate dir einen Trick, wie wir schnell herausfinden können, in welchem Dorf Dirty Dieter wohnt.|Horrible, the pilot is held captive by Dirty Dieter! I will show you a trick how to find out the name of the village where Dirty Dieter lives.
Auf diese Weise kannst du das Dorf mit der Dorf-Nummer suchen, die bei Dirty Dieter im Feld dorfnr steht. Ein solch genialer Ausdruck nennt sich Verbund oder Join.|The expression presented here is called a join. It combines the information of the inhabitant table with information of the village table by matching villageid values.
Danke für den Tipp. Dann suche ich erst einmal den Häuptling des Dorfes Zwiebelhausen. Im Feld haeuptling der Tabelle dorf steht ja die bewohnernr des Häuptlings des jeweiligen Dorfes.|Thanks for the hint! I can use the join to find out the chief's name of the village Onionville. (Hint: In the column 'chief' in the village table, the personid of the chief is stored)
Juhu! Ich hab's! Dann gehe ich mal Fritz besuchen, um ihn nach Dirty Dieter und dem Piloten zu fragen.|I've got it! I will visit Fred and ask him about Dirty Dieter and the pilot.
Hm, wie viele Einwohner hat eigentlich Zwiebelhausen?|Um, how many inhabitants does Onionville have?
Hallo %%%PLAYER_NAME%%%, Dirty Dieter hält den Piloten im Haus seiner Schwester gefangen. Soll ich dir verraten, wie viele Frauen es in Zwiebelhausen gibt? Ach was, das kannst du schon selbst herausfinden! (Hinweis: Frauen erkennt man an geschlecht = 'w')|Hello %%%PLAYER_NAME%%%, the pilot is held captive by Dirty Dieter in his sister's house. Shall I tell you how many women there are in Onionville? Nah, you can figure it out by yourself! (Hint: Women show up as gender = 'f')
Ha, nur eine Frau. Mal schauen, wie sie heißt.|Oh, only one woman. What's her name?
So! Dann gehe ich jetzt da hin!|Let's go!
%%%PLAYER_NAME%%%, gib mir alles Gold, was die Bewohner von unserem Nachbardorf Gurkendorf zusammen besitzen und ich lasse den Piloten frei! Du willst wissen, wie viel das ist? Ich zeige es dir!|%%%PLAYER_NAME%%%, if you hand me over the entire property of our nearby village Cucumbertown, I will release the pilot. I will show you now what this property consists of.
So viel Gold werde ich niemals allein durch Brötchenbacken verdienen können. Ich muss mir etwas anderes einfallen lassen. Wenn ich Gegenstände verkaufe und zusätzlich noch als Bäcker arbeite, kann ich maximal so viel Gold bekommen, wie die Händler, Kaufmänner und Bäcker zusammen besitzen. Wie viel ist das?|Oh no, baking bread alone can't solve my problems. If I continue working and selling items though, I could earn more gold than the worth of gold inventories of all bakers, dealers and merchants together. How much gold is that?
Das ist viel zu wenig.|That's not enough.
Schauen wir mal die gesamten sowie durchschnittlichen Goldvorräte der einzelnen Berufe an.|Let's have a look at how much average gold people own, depending on their job.
Interessant, die Metzger haben also das meiste Gold. Warum auch immer... Wie viel Gold haben im Durchschnitt die einzelnen Bewohnergruppen je nach Status (friedlich, böse, gefangen)?|Very interesting: For some reason, butchers own the most gold. How much gold do different inhabitants have on average, depending on their state (friendly, ...)?
Okay, ich muss also die bösen Bewohner ausrauben.|Ok, so the only way is to mug the villains.
Dann kann ich auch gleich Dirty Dieter mit dem Schwert töten und den Piloten befreien.|Or I might as well go ahead and just kill Dirty Dieter with my sword!
Heeeey! Jetzt bin ich aber sauer! Was tust du wohl als nächstes, %%%PLAYER_NAME%%%?|Heeeey! Now I'm very angry! What will you do next, %%%PLAYER_NAME%%%?
Yeah! Jetzt muss ich nur noch den Piloten befreien.|Yeah! Now I release the pilot!
Vielen vielen Dank, %%%PLAYER_NAME%%%! Jetzt fliege ich dich nach Hause.|Thank's for releasing me, %%%PLAYER_NAME%%%! I will fly you home!
Juhu! Und als Andenken nehme ich mein Schwert, ein bisschen Gold und die nutzlosen Gegenstände mit nach Hause. Was für ein Abenteuer!|I take my sword, some gold and lots of useless items with me as a souvenir. What a big adventure!
Weiter|Continue
DORF|VILLAGE
BEWOHNER|INHABITANT
GEGENSTAND|ITEM
Bist du dir sicher?|Are you sure?
Wenn du das Spiel neustartest, fängst du wieder ganz von vorne an.|When you restart the game, you have to start all over again.
Ja, Neustart!|Yes, restart!
Nein, weiterspielen!|No, continue the game!
SQL Island Game Trailer|SQL Island Game Traier
Das bist du!|This is you!
Nach einem Flugzeugabsturz stellst du fest, dass du der einzige Überlebende bist. Du landest auf der Insel SQL Island und das Ziel des Spiels ist es, von dieser Insel zu entkommen.|After the survived plane crash, you will be stuck on SQL Island for the time being. By making progress in the game, you will find a way to escape from this island.
Zurück|Back
Hier wirst du nachher die Spielbefehle eingeben. Du steuerst das komplette Spiel mit Kommandos aus der Datenbanksprache SQL.|This field is where you write your commands. The complete game will be controlled by means of the database language SQL.
Du kannst kein SQL? Keine Angst, hier werden dir im Laufe des Spiels die einzelnen Kommandos gezeigt.|You don't know anything about SQL commands yet? No problem. You will find out all about them here!
Hier unten steht, welche Tabellen es gibt: Dorf, Bewohner und Gegenstand. In Klammern stehen die Spaltennamen der Tabellen. Diese Infos wirst du im Spiel ganz oft brauchen!|Down here you find all tables which you can access: village, inhabitant and item. Each of these tables include several columns (in brackets). You will require this information throughout the entire game!
Los geht's!|Let's go!
Über diesen Menü-Knopf kannst du das Spiel neustarten oder dir diese Anleitung noch einmal anschauen. Aber genug geredet, lasst uns anfangen!|In case you want to restart the game or replay the game instructions, just click on this menu button.
Schreibe deine SQL-Anfrage hier hinein|Write your SQL query here
Yeah|Yeah
Fehler|Error
Es kommen zu viele Zeilen raus.|These are too many rows.
Hinweis: Achte bei Werten, die in Anführungszeichen stehen, auf Groß-/Kleinschreibung.|Hint: Values in quotation marks are case-sensitive.
Da fehlen noch ein Paar Zeilen.|Some rows are missing
Das Spiel ist zu Ende.|The game is over.
INSERT-SELECT-Kombinationen sind hier nicht erlaubt.|INSERT-SELECT combinations are not allowed.
Erlaubt sind nur SELECT-, INSERT-, UPDATE- und DELETE-Anfragen.|Only SELECT, INSERT, UPDATE and DELETE queries are allowed.
Was machst du da eigentlich?|What are you doing?
Ausführen|Submit
Es kommen falsche Zeilen raus.|The result rows are incorrect.
Sprache wechseln|Change Language
Bitte wähle eine Sprache.|Please choose your language.
Danach wird das Spiel neu gestartet|Afterwards, the game will be restarted.
Die Spalten sind falsch.|The columns are wrong.
Info|Info
Ein Text-Adventure-Lernspiel für die Datenbanksprache SQL|A text-adventure learning game for the database language SQL
Das Spiel wurde an der Technischen Universität Kaiserslautern in der AG Heterogene Informationssysteme / Lehrgebiet Informationssysteme von Johannes Schildgen entwickelt. Ein großer Dank geht an Isabell Ruth, die die Grafiken erstellt hat, sowie an Marlene van den Ecker für die Übersetzung ins Englische.|The game was developed by Johannes Schildgen at the University of Technology, Kaiserslautern in the Heterogenious Information System group. Thanks to Isabell Ruth for creating the images and Marlene van den Ecker for translating the game into English.
Weitere Infos, Impressum, Kontakt und Publikationen|More information, contact and publications.
Oh oh... Entweder du hast zu viele oder zu wenige Änderungen durchgeführt.|Oh, either you did too many or too few changes.
Wofür brauchst du so eine lange Anfrage?|Why do you need such a long query?
Hole jetzt dein Abschluss-Zertifikat ab. Wenn du den Namen auf dem Zertifikat ändern willst, tu dies mit einem UPDATE-Befehl auf der Bewohner-Tabelle.|Get your certificate of completion now! If you want to change the name on the certificate, use an UPDATE command on the inhabitants table.
